Smiles,activity
O=C(CCC1CCCC1)Nc1nc(NC2CCCC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,1
COc1ccc(-c2nc(N)c3nc(-c4ccco4)sc3n2)cc1,1
CCC(=O)Nc1cc(-c2ccc(C)cc2)nc(-c2ccc(C)cc2)n1,1
CCn1cnc2ncnc(N)c21,0
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,1
Cc1cc(cc(C)c1C#N)-c1nnc(N)nc1-c1ccc(OC(F)F)cc1,1
N#Cc1c(N)nc(SCc2csc(C3CCCCC3)n2)nc1-c1ccc2c(c1)OCO2,1
Cc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)s1,0
Nc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,0
O=C(Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1,1
O=S(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O.[Na+],1
CN1CCC[C@H]1c1cc(C)no1,0
CCCn1c(-c2ccco2)nc2c(NCCc3ccccc3)ncnc21,0
O=C(Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C1CCCC1,1
C=CCCn1c(Br)nc2c(N)ncnc21,0
CCCn1c(=O)[nH]c2nc(-c3cnn(Cc4noc(-c5ccccc5)n4)c3)[nH]c2c1=O,0
CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N(C)CCc4ccccc4)cc3)[nH]c2c1=O,0
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Cl)c3)nc(Cl)nc21,0
COc1cccc2c1nc(N)n1nc(CN3CCN(c4ccccc4)C[C@H]3C)nc21,0
CCCn1c(=O)c2c(nc3[nH]c(-c4ccc(-c5ccccc5)cc4)cn32)n(Cc2ccccc2)c1=O,0
Nc1ncnc2c1nc(-c1ccco1)n2CCO,1
CCCn1c2nc[nH]c2c(=O)[nH]c1=O,0
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(CC)c1=O,0
CN(CCc1cccs1)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,0
Nc1nc(-c2ccco2)c2nc[nH]c2n1,0
COC(=O)C1=C2C=CN(C)C=C2c2nc(-c3ccccc3)nn2C1,0
c1ccc(-c2nnc(-c3ccccn3)[nH]2)nc1,0
CSC[C@H]1O[C@@H](n2cnc3c(N[C@H]4C[C@@H]5C[C@@H]4C4SC45)ncnc32)[C@H](O)[C@@H]1O,1
C=CCCCCCCCCCOCCOCCOCCOCCn1cnc2c1c(=O)n(C)c(=O)n2C,0
Nc1nc(C(=O)NCc2cccc3cccnc23)c2cccc(F)c2n1,1
CN(C)CC(=O)Nc1cc(-n2cccn2)nc(-c2ccco2)n1,1
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccc(OCC(=O)NCCN)cc1,1
O=C(Nc1nc2ccccc2c(=O)s1)c1ccc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0
Cc1cccnc1CNC(=O)c1cc(nc(N)n1)-c1ccccc1C#N,0
Nc1nc(Nc2ccccc2)nc2sc(-c3ccccc3)nc12,0
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(Cl)ccc4OCC(N)=O)nc(Cl)nc31)[C@H](O)[C@@H]2O,1
Oc1nc2ccccc2c2nn(-c3ccc(F)cc3)cc12,0
COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F,0
Cn1c(=O)c2c(nc3n2CCN(CCCc2cccc(Br)c2)C3)n(C)c1=O,0
CCCn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(CCC)c1=O,1
Cc1ccc2c(O)cc(-c3cccc([N+](=O)[O-])c3)nc2n1,0
CC1CSc2nc3nn[nH]c3c(=O)n12,0
C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCCC2)n(C)c1=O,0
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CC5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,1
CC(C)Cn1cnc2ncnc(N)c21,0
COc1cc(ccc1OCC(=O)N1CCCCC1)-c1nc2n(C)c(=O)n(C)c(=O)c2[nH]1,0
CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C#N)cc5)no4)cc3)[nH]c2n(CCC)c1=O,0
COc1ccc(C2CCOCC2)c2oc(NC(=O)c3ccnc(N4CCOCC4)c3)nc12,0
Nc1nc(-c2ccc(Cl)o2)c2c(n1)-c1ccccc1C2=O,1
OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,1
O=S(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O.[Na+],1
N#Cc1c(N)nc(SCCO)c(C#N)c1-c1cccnc1,1
CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5ccccc5Cl)no4)c3)[nH]c2n(CCC)c1=O,0
CCOC(=O)c1cnc(NCc2ccc(C)cc2)n2nc(-c3ccco3)nc12,0
CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,1
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCN4CCN(c5ccc(C(F)(F)F)cc5)CC4)nc32)[C@H](O)[C@@H]1O,0
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)c(O)c2n(CCC)c1=O,1
N#Cc1cccc(-c2nc(N)c3cc(Cc4ccccc4F)sc3n2)c1,1
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)c2nc(-c3ccco3)nn12,0
CC(C)CN1C(=O)/C(=C/c2c(NCCc3ccccc3)nc3ccccn3c2=O)SC1=S,0
O=C(Nc1ccc2[nH]ncc2c1)c1ccc[nH]1,0
CCC(CC)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,1
N#Cc1c(N)nc(SCCO)c(C#N)c1-c1cccc(C(F)(F)F)c1,1
CC(C)Cn1cnc2c(N)ncnc21,0
Nc1nc(-c2ccc(OCC3CCC3)cc2)cn2c(=O)n(-c3ccccc3)nc12,0
O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,0
Nc1ncnc2c1ncn2Cc1ccccc1,0
COc1ccc(C(=O)Nc2nc(C)nc3sc(-c4ccccc4)nc23)cc1,0
Nc1nc(-c2ccco2)c2c(n1)-c1ccccc1C2=O,1
Cc1cn2c(nc3c2c(=O)n(C)c(=O)n3C)[nH]1,0
COc1cc(/C=N/Nc2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)ccc1OCc1ccccc1,0
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(Br)cc4)nc23)n1,0
CCOC(=O)Cn1c(=O)c2c(nc3[nH]c(C)cn32)n(Cc2ccccc2)c1=O,0
CCc1ccccc1Nc1nc(NC2CCCCC2)c2[nH]cnc2n1,0
Nc1nc(NCc2cccc(O)c2)nc2sc(-c3ccco3)nc12,1
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,1
CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(C)cc12,0
Cc1ccc(CN2CCC(NC(=O)Nc3nc4nn(C)cc4c4nc(-c5ccco5)nn34)CC2)cc1,0
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5ccc(Cl)cc5F)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,1
Cc1cn2c(=O)n(-c3ccccc3)nc2c(=O)[nH]1,0
N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1,1
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NNC(=O)Cc4cccs4)nc(Cl)nc32)[C@H](O)[C@@H]1O,1
O=c1[nH]c2nc(-c3cnn(Cc4noc(-c5ccc(C(F)(F)F)cc5)n4)c3)[nH]c2c(=O)n1CC1CC1,0
Cn1cc2c(NC(=O)Nc3ccccc3)nc(-c3ccccc3)nc2n1,0
COc1ccccc1-n1nc2c(=O)[nH]c(-c3ccccc3)cn2c1=O,0
CCCn1c(=O)c2[nH]c(-c3cc(OCC(=O)Nc4ccc5c(c4)OCO5)nn3C)cc2n(CCC)c1=O,1
OC1CS[C@H]([C@H]1O)n1cnc2c(NCc3cccc(I)c3)nc(Cl)nc12,0
C=CCN1C(=O)N2C[C@H](C)N=C2c2[nH]c(-c3cc(C)nn3C)nc21,0
Nc1ncnc2ncn(CC(O)CO)c12,0
Cn1c(=O)c2c(nc3n2CCN3C2CCCCC2)n(C)c1=O,0
OC(c1ccccc1)c1cc(C(F)(F)F)nc2ccccc12,0
CONc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,0
